group,cpu_pct,ram_pct,ram_gb
2_cams,20.846,6.327,7.94
2_cams,20.514,6.307,7.914
2_cams,30.816,6.31,7.918
2_cams,29.196,6.309,7.917
2_cams,30.646,6.312,7.921
2_cams,30.823,6.299,7.905
2_cams,31.473,6.306,7.913
2_cams,30.271,6.289,7.893
2_cams,30.426,6.313,7.923
2_cams,30.599,6.302,7.908
2_cams,30.684,6.303,7.91
2_cams,31.121,6.309,7.917
2_cams,31.106,6.318,7.928
2_cams,29.016,6.318,7.928
2_cams,27.442,6.314,7.923
2_cams,26.764,6.329,7.942
2_cams,26.395,6.314,7.923
2_cams,25.0,6.311,7.919
2_cams,25.779,6.31,7.918
2_cams,25.68,6.335,7.949
2_cams,24.748,6.328,7.941
2_cams,24.635,6.328,7.941
2_cams,24.686,6.316,7.926
2_cams,26.045,6.329,7.942
2_cams,26.284,6.319,7.929
2_cams,25.327,6.298,7.903
2_cams,24.711,6.341,7.958
2_cams,28.227,6.333,7.947
2_cams,28.557,6.334,7.949
2_cams,28.471,6.363,7.985
2_cams,23.893,6.366,7.989
2_cams,24.485,6.326,7.938
2_cams,23.896,6.312,7.921
2_cams,25.755,6.315,7.924
2_cams,23.829,6.302,7.908
2_cams,19.387,6.297,7.902
2_cams,21.079,6.312,7.92
2_cams,22.122,6.325,7.938
2_cams,20.674,6.337,7.952
2_cams,22.636,6.353,7.973
2_cams,23.375,6.342,7.958
2_cams,23.618,6.303,7.91
2_cams,22.496,6.322,7.933
2_cams,22.015,6.337,7.952
2_cams,22.798,6.339,7.955
2_cams,25.365,6.325,7.937
2_cams,26.583,6.336,7.951
2_cams,26.981,6.339,7.955
2_cams,25.214,6.322,7.933
2_cams,20.332,6.31,7.918
2_cams,22.306,6.324,7.936
2_cams,21.921,6.305,7.912
2_cams,23.305,6.325,7.937
2_cams,27.337,6.29,7.893
2_cams,27.474,6.307,7.914
2_cams,29.97,6.317,7.927
2_cams,32.965,6.353,7.973
2_cams,30.111,6.368,7.991
2_cams,28.6,6.351,7.969
2_cams,27.875,6.351,7.969
2_cams,27.291,6.344,7.961
2_cams,24.811,6.341,7.957
2_cams,23.529,6.354,7.974
2_cams,18.589,6.37,7.994
2_cams,19.055,6.343,7.96
2_cams,19.798,6.321,7.933
2_cams,21.026,6.32,7.931
2_cams,20.332,6.306,7.913
2_cams,21.881,6.302,7.908
2_cams,21.814,6.329,7.943
2_cams,21.511,6.342,7.958
2_cams,20.563,6.346,7.963
2_cams,19.576,6.323,7.935
2_cams,19.426,6.32,7.931
2_cams,20.584,6.313,7.923
2_cams,20.523,6.334,7.949
2_cams,19.637,6.326,7.938
2_cams,19.237,6.377,8.002
2_cams,20.573,6.366,7.989
2_cams,20.695,6.346,7.964
2_cams,22.748,6.335,7.95
2_cams,20.281,6.339,7.955
2_cams,19.689,6.345,7.962
2_cams,21.483,6.367,7.989
2_cams,22.122,6.334,7.949
2_cams,23.1,6.339,7.955
2_cams,21.792,6.342,7.959
2_cams,20.785,6.326,7.938
2_cams,21.702,6.319,7.929
2_cams,20.221,6.339,7.954
2_cams,21.892,6.319,7.929
2_cams,24.824,6.31,7.918
2_cams,21.702,6.315,7.924
2_cams,19.608,6.313,7.922
2_cams,21.281,6.296,7.901
2_cams,22.312,6.299,7.905
2_cams,22.636,6.315,7.925
